path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
src/babappa/calibration/__pycache__/threshold_policy.cpython-311.pyc	file	36328	35.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/threshold_policy_audit.cpython-311.pyc	file	5205	5.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/datasets/__pycache__/__init__.cpython-311.pyc	file	1106	1.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/datasets/__pycache__/audit.cpython-311.pyc	file	9458	9.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/datasets/__pycache__/index.cpython-311.pyc	file	24626	24.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/datasets/__pycache__/merge.cpython-311.pyc	file	21407	20.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/datasets/__pycache__/merge_audit.cpython-311.pyc	file	8341	8.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/datasets/__pycache__/resplit.cpython-311.pyc	file	12053	11.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/datasets/__pycache__/resplit_audit.cpython-311.pyc	file	4670	4.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/deploy/__pycache__/__init__.cpython-311.pyc	file	630	630B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/deploy/__pycache__/package.cpython-311.pyc	file	55571	54.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/empirical/__pycache__/__init__.cpython-311.pyc	file	6311	6.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/empirical/__pycache__/bridge.cpython-311.pyc	file	90250	88.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/empirical/__pycache__/calibration.cpython-311.pyc	file	29651	29.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
